path,count
.event[].date[].qualifier,119495
.access.note[].type,29655
.access.note[].value,32679
.relatedResource[].purl,233194
.form[].note[].type,91843
.form[].note[].value,293330
.form[].displayLabel,100256
.note[].valueLanguage.code,60868
.note[].valueLanguage.source.code,60868
.subject[].valueLanguage.code,106793
.subject[].valueLanguage.source.code,106792
.subject[].encoding.code,22604
.geographic[].form[].type,520524
.geographic[].form[].value,520496
.geographic[].form[].source.value,483396
.geographic[].subject[].type,253538
.geographic[].subject[].encoding.value,250767
.geographic[].subject[].standard.code,18559
.geographic[].subject[].structuredValue[].type,987086
.geographic[].subject[].structuredValue[].value,987086
.geographic[].subject[].value,2771
.geographic[].subject[].valueLanguage.code,2771
.adminMetadata.contributor[].name[].value,22495
.relatedResource[].language[].code,5323
.relatedResource[].language[].source.code,5323
.relatedResource[].event[].date[].type,52512
.relatedResource[].event[].date[].value,52424
.relatedResource[].access.note[].value,82851
.relatedResource[].access.note[].appliesTo[].value,82851
.relatedResource[].event[].location[].code,1255
.relatedResource[].event[].location[].source.code,1255
.relatedResource[].title[].uri,12005
.subject[].parallelValue[].type,12920
.relatedResource[].note[].groupedValue[].type,45699
.relatedResource[].note[].groupedValue[].value,45699
.event[].location[].uri,639055
.title[].valueLanguage.valueScript.code,15781
.title[].valueLanguage.valueScript.source.code,15781
.access.accessContact[].uri,843049
.access.accessContact[].source.code,822488
.access.accessContact[].valueLanguage.code,226472
.access.accessContact[].valueLanguage.source.code,226472
.access.accessContact[].valueLanguage.valueScript.code,226472
.access.accessContact[].valueLanguage.valueScript.source.code,226472
.subject[].structuredValue[].uri,121487
.subject[].structuredValue[].source.uri,121237
.subject[].structuredValue[].source.code,121354
.language[].uri,469275
.language[].value,456690
.language[].source.uri,468033
.contributor[].name[].source.uri,624090
.contributor[].name[].source.code,712829
.note[].valueAt,240
.relatedResource[].contributor[].name[].parallelValue[].structuredValue[].type,20558
.relatedResource[].contributor[].name[].parallelValue[].structuredValue[].value,22476
.relatedResource[].event[].parallelEvent[].contributor[].name[].value,668
.relatedResource[].event[].parallelEvent[].contributor[].role[].uri,668
.relatedResource[].event[].parallelEvent[].contributor[].role[].code,668
.relatedResource[].event[].parallelEvent[].contributor[].role[].value,668
.relatedResource[].event[].parallelEvent[].contributor[].role[].source.uri,668
.relatedResource[].event[].parallelEvent[].contributor[].role[].source.code,668
.relatedResource[].event[].parallelEvent[].contributor[].type,668
.subject[].note[].type,1416
.subject[].note[].value,1395
.form[].parallelValue[].value,615
.relatedResource[].title[].parallelValue[].type,84
.relatedResource[].form[].type,35799
.relatedResource[].form[].value,36508
.contributor[].name[].parallelValue[].uri,6176
.subject[].displayLabel,143127
.form[].note[].displayLabel,203803
.event[].location[].source.uri,605943
.event[].displayLabel,564046
.event[].date[].structuredValue[].status,107710
.access.physicalLocation[].uri,2897
.access.physicalLocation[].source.code,2897
.access.physicalLocation[].displayLabel,10728
.subject[].groupedValue[].code,67321
.subject[].groupedValue[].source.code,67324
.access.note[].appliesTo[].value,17625
.access.digitalLocation[].type,20755
.access.digitalLocation[].value,20755
.adminMetadata.metadataStandard[].uri,3202
.adminMetadata.metadataStandard[].value,3098
.adminMetadata.metadataStandard[].source.uri,3202
.adminMetadata.metadataStandard[].source.code,3054
.access.accessContact[].source.uri,33926
.form[].groupedValue[].type,15273
.form[].groupedValue[].value,15455
.form[].groupedValue[].source.code,6346
.event[].location[].type,3812
.relatedResource[].identifier[].displayLabel,30726
.relatedResource[].form[].source.value,6010
.access.url[].status,10853
.title[].parallelValue[].valueLanguage.code,6734
.title[].parallelValue[].valueLanguage.source.code,6734
.title[].parallelValue[].valueLanguage.valueScript.code,28831
.title[].parallelValue[].valueLanguage.valueScript.source.code,28831
.title[].parallelValue[].standard.value,2037
.language[].script.code,1544
.language[].script.value,1544
.language[].script.source.code,1544
.contributor[].name[].parallelValue[].valueLanguage.valueScript.code,23352
.contributor[].name[].parallelValue[].valueLanguage.valueScript.source.code,23352
.contributor[].name[].parallelValue[].type,3746
.contributor[].name[].parallelValue[].standard.value,1353
.adminMetadata.language[].script.code,13285
.adminMetadata.language[].script.value,13285
.adminMetadata.language[].script.source.code,12217
.event[].parallelEvent[].date[].encoding.code,4925
.event[].parallelEvent[].date[].structuredValue[].type,5597
.event[].parallelEvent[].date[].structuredValue[].value,5597
.event[].parallelEvent[].note[].source.value,6535
.event[].parallelEvent[].location[].code,6563
.event[].parallelEvent[].location[].source.code,6583
.relatedResource[].form[].uri,8449
.relatedResource[].form[].source.code,8543
.relatedResource[].form[].note[].type,10925
.relatedResource[].form[].note[].value,10925
.relatedResource[].contributor[].role[].uri,87142
.relatedResource[].contributor[].role[].value,103378
.relatedResource[].contributor[].role[].source.code,89764
.relatedResource[].adminMetadata.note[].type,8799
.relatedResource[].adminMetadata.note[].value,8799
.relatedResource[].adminMetadata.identifier[].value,10570
.relatedResource[].adminMetadata.contributor[].name[].code,9683
.relatedResource[].adminMetadata.contributor[].name[].source.code,9683
.relatedResource[].adminMetadata.contributor[].role[].value,9683
.relatedResource[].adminMetadata.contributor[].type,9683
.event[].date[].structuredValue[].qualifier,4357
.event[].date[].structuredValue[].encoding.code,2293
.event[].contributor[].name[].valueLanguage.code,1440
.event[].contributor[].name[].valueLanguage.source.code,1440
.subject[].parallelValue[].valueLanguage.code,8066
.subject[].parallelValue[].valueLanguage.source.code,8066
.subject[].parallelValue[].valueLanguage.valueScript.code,11301
.subject[].parallelValue[].valueLanguage.valueScript.source.code,11301
.subject[].parallelValue[].structuredValue[].uri,1285
.subject[].parallelValue[].structuredValue[].source.uri,1285
.subject[].parallelValue[].structuredValue[].source.code,1710
.contributor[].name[].valueLanguage.code,1029
.contributor[].name[].valueLanguage.source.code,1029
.contributor[].name[].valueLanguage.valueScript.code,1791
.contributor[].name[].valueLanguage.valueScript.source.code,1791
.subject[].valueLanguage.valueScript.code,5586
.subject[].valueLanguage.valueScript.source.code,5586
.subject[].note[].uri,1172
.subject[].note[].code,1198
.subject[].note[].source.uri,1172
.subject[].note[].source.code,1198
.note[].valueLanguage.valueScript.code,14083
.note[].valueLanguage.valueScript.source.code,14083
.event[].contributor[].name[].valueLanguage.valueScript.code,6308
.event[].contributor[].name[].valueLanguage.valueScript.source.code,6308
.contributor[].identifier[].uri,731
.contributor[].identifier[].source.code,670
.subject[].parallelValue[].uri,11955
.subject[].parallelValue[].source.uri,11945
.note[].parallelValue[].valueLanguage.valueScript.code,10255
.note[].parallelValue[].valueLanguage.valueScript.source.code,10255
.event[].parallelEvent[].valueLanguage.valueScript.code,9238
.event[].parallelEvent[].valueLanguage.valueScript.source.code,9238
.relatedResource[].identifier[].uri,1088
.relatedResource[].contributor[].note[].type,15157
.relatedResource[].contributor[].note[].value,15157
.relatedResource[].contributor[].role[].code,13343
.relatedResource[].contributor[].role[].source.uri,10488
.relatedResource[].identifier[].parallelValue[].value,294
.relatedResource[].identifier[].parallelValue[].type,54
.relatedResource[].identifier[].parallelValue[].source.code,54
.contributor[].name[].parallelValue[].valueLanguage.code,8932
