path,count
.relatedResource[].contributor[].name[].parallelValue[].structuredValue[].value,22476
.contributor[].identifier[].value,4
.relatedResource[].event[].parallelEvent[].contributor[].name[].value,668
.relatedResource[].event[].parallelEvent[].contributor[].role[].uri,668
.relatedResource[].event[].parallelEvent[].contributor[].role[].code,668
.relatedResource[].event[].parallelEvent[].contributor[].role[].value,668
.relatedResource[].event[].parallelEvent[].contributor[].role[].source.uri,668
.relatedResource[].event[].parallelEvent[].contributor[].role[].source.code,668
.relatedResource[].event[].parallelEvent[].contributor[].type,668
.subject[].note[].type,153
.subject[].note[].value,132
.form[].parallelValue[].value,615
.relatedResource[].title[].parallelValue[].type,84
.relatedResource[].form[].type,2235
.relatedResource[].form[].value,2229
.contributor[].name[].parallelValue[].uri,6170
.subject[].displayLabel,1446
.relatedResource[].note[].value,1583
.form[].structuredValue[].type,364
.form[].structuredValue[].value,364
.access.accessContact[].type,4763
.access.accessContact[].value,4763
.access.accessContact[].displayLabel,1037
.subject[].source.uri,9070
.contributor[].role[].uri,7555
.contributor[].role[].source.uri,7125
.subject[].groupedValue[].code,67321
.subject[].groupedValue[].source.code,67321
.access.note[].appliesTo[].value,17236
.form[].groupedValue[].type,7782
.form[].groupedValue[].value,7962
.form[].groupedValue[].source.code,5185
.form[].uri,9796
.form[].source.uri,9237
.event[].location[].uri,6144
.event[].location[].source.uri,3658
.event[].displayLabel,3669
.access.accessContact[].uri,3552
.access.accessContact[].source.code,3551
.language[].uri,6178
.language[].value,6272
.language[].source.uri,6215
.contributor[].name[].source.uri,3479
.contributor[].name[].source.code,3822
.adminMetadata.language[].uri,9915
.adminMetadata.language[].value,9953
.adminMetadata.language[].source.uri,9914
.adminMetadata.language[].status,3150
.adminMetadata.contributor[].name[].uri,9895
.adminMetadata.contributor[].name[].source.uri,9894
.access.url[].status,10649
.event[].parallelEvent[].date[].encoding.code,4907
.event[].parallelEvent[].date[].structuredValue[].type,5535
.event[].parallelEvent[].date[].structuredValue[].value,5535
.event[].parallelEvent[].note[].source.value,6534
.event[].parallelEvent[].location[].code,6534
.event[].parallelEvent[].location[].source.code,6534
.event[].date[].status,10457
.title[].valueLanguage.valueScript.code,313
.title[].valueLanguage.valueScript.source.code,313
.access.accessContact[].valueLanguage.code,2048
.access.accessContact[].valueLanguage.source.code,2048
.access.accessContact[].valueLanguage.valueScript.code,2048
.access.accessContact[].valueLanguage.valueScript.source.code,2048
.access.digitalLocation[].type,216
.access.digitalLocation[].value,216
.subject[].valueLanguage.code,897
.subject[].valueLanguage.source.code,897
.subject[].valueLanguage.valueScript.code,889
.subject[].valueLanguage.valueScript.source.code,889
.note[].valueLanguage.code,2789
.note[].valueLanguage.source.code,2789
.subject[].structuredValue[].uri,955
.subject[].structuredValue[].source.uri,956
.subject[].structuredValue[].source.code,955
.contributor[].identifier[].uri,357
.contributor[].identifier[].type,357
.contributor[].identifier[].source.code,342
.note[].parallelValue[].valueLanguage.valueScript.code,10115
.note[].parallelValue[].valueLanguage.valueScript.source.code,10115
.event[].parallelEvent[].valueLanguage.valueScript.code,9238
.event[].parallelEvent[].valueLanguage.valueScript.source.code,9238
.title[].parallelValue[].valueLanguage.valueScript.code,16937
.title[].parallelValue[].valueLanguage.valueScript.source.code,16937
.contributor[].name[].parallelValue[].valueLanguage.valueScript.code,17894
.contributor[].name[].parallelValue[].valueLanguage.valueScript.source.code,17894
.relatedResource[].identifier[].parallelValue[].value,294
.relatedResource[].identifier[].parallelValue[].type,54
.relatedResource[].identifier[].parallelValue[].source.code,54
.relatedResource[].access.note[].type,12128
.subject[].parallelValue[].valueLanguage.valueScript.code,2867
.subject[].parallelValue[].valueLanguage.valueScript.source.code,2867
.identifier[].uri,1888
.adminMetadata.contributor[].name[].value,906
.relatedResource[].adminMetadata.event[].date[].value,1483
.relatedResource[].adminMetadata.event[].date[].encoding.code,1483
.relatedResource[].adminMetadata.event[].type,1483
.relatedResource[].adminMetadata.identifier[].type,1771
.relatedResource[].adminMetadata.identifier[].value,1771
.relatedResource[].adminMetadata.contributor[].name[].code,884
.relatedResource[].adminMetadata.contributor[].name[].source.code,884
.relatedResource[].adminMetadata.contributor[].role[].value,884
.relatedResource[].adminMetadata.contributor[].type,884
.relatedResource[].form[].source.code,90
.relatedResource[].adminMetadata.language[].code,185
.relatedResource[].adminMetadata.language[].source.code,185
.relatedResource[].adminMetadata.metadataStandard[].code,213
.form[].parallelValue[].groupedValue[].type,170
.form[].parallelValue[].groupedValue[].value,170
.form[].parallelValue[].groupedValue[].source.code,159
.form[].parallelValue[].type,95
.form[].parallelValue[].source.code,78
.event[].date[].structuredValue[].status,1945
.note[].valueLanguage.valueScript.code,4571
.note[].valueLanguage.valueScript.source.code,4571
.event[].valueLanguage.valueScript.code,2907
.event[].valueLanguage.valueScript.source.code,2907
.form[].note[].displayLabel,103594
.contributor[].name[].parallelValue[].type,713
.relatedResource[].title[].note[].type,272
.relatedResource[].title[].note[].structuredValue[].value,433
.contributor[].note[].type,465
.contributor[].note[].value,465
.relatedResource[].contributor[].role[].value,390
.relatedResource[].form[].source.value,77
.relatedResource[].access.physicalLocation[].value,3
.title[].uri,3988
.adminMetadata.metadataStandard[].value,44
.relatedResource[].event[].parallelEvent[].note[].type,652
.relatedResource[].event[].parallelEvent[].note[].value,652
.geographic[].form[].type,260
.geographic[].form[].value,260
.geographic[].form[].source.value,256
.geographic[].subject[].type,129
.geographic[].subject[].encoding.value,129
.geographic[].subject[].structuredValue[].type,516
.geographic[].subject[].structuredValue[].value,516
.relatedResource[].title[].note[].value,61
.relatedResource[].title[].parallelValue[].uri,52
.subject[].structuredValue[].note[].type,22
.subject[].structuredValue[].note[].value,20
.relatedResource[].note[].parallelValue[].value,412
.event[].date[].structuredValue[].encoding.code,84
.event[].parallelEvent[].date[].qualifier,21
.relatedResource[].title[].note[].structuredValue[].type,389
.relatedResource[].relatedResource[].form[].type,35
.relatedResource[].relatedResource[].form[].value,35
.relatedResource[].relatedResource[].type,35
.relatedResource[].relatedResource[].adminMetadata.identifier[].type,70
.relatedResource[].relatedResource[].adminMetadata.identifier[].value,70
.title[].source.uri,31
.title[].source.code,30
.subject[].parallelValue[].uri,25
.subject[].parallelValue[].source.uri,15
.title[].parallelValue[].uri,76
.contributor[].name[].valueLanguage.valueScript.code,10
.contributor[].name[].valueLanguage.valueScript.source.code,10
.relatedResource[].contributor[].role[].code,2855
.relatedResource[].contributor[].role[].source.code,2855
.subject[].note[].code,21
.subject[].note[].source.code,21
.event[].parallelEvent[].note[].source.code,82
.form[].groupedValue[].uri,8
.form[].groupedValue[].source.uri,8
.form[].groupedValue[].source.value,24
.note[].groupedValue[].type,10
.note[].groupedValue[].value,10
.title[].parallelValue[].valueLanguage.code,20
.title[].parallelValue[].valueLanguage.source.code,20
.relatedResource[].title[].source.uri,1
.relatedResource[].title[].source.code,1
.relatedResource[].contributor[].name[].uri,1
.relatedResource[].contributor[].name[].source.uri,1
.relatedResource[].contributor[].name[].source.code,1
.form[].displayLabel,2
.geographic[].subject[].standard.code,2
.event[].date[].structuredValue[].qualifier,2
.event[].location[].type,1
.subject[].valueAt,1
.access.physicalLocation[].uri,1
.access.physicalLocation[].source.code,1
.relatedResource[].relatedResource[].purl,1
.contributor[].name[].parallelValue[].note[].type,1
.contributor[].name[].parallelValue[].note[].value,1
.subject[].structuredValue[].note[].code,2
.subject[].structuredValue[].note[].source.code,2
.relatedResource[].form[].parallelValue[].value,18
.subject[].parallelValue[].note[].type,24
.subject[].parallelValue[].note[].value,24
.contributor[].name[].parallelValue[].identifier[].value,2
